Kategorija/Domen,Naziv (Engleski),Naziv (Srpski),snake_case,camelCase,PascalCase,kebab-case,UPPER_SNAKE,lowercase,SAP style,Oracle/QAD style,Salesforce style,Odoo style,MS Dynamics style,Skracenice,Alternativni nazivi,Tip podatka,Tipicna duzina,Primer vrednosti
Kompanije,Payment Terms,Uslovi placanja,payment_terms,paymentTerms,PaymentTerms,payment-terms,PAYMENT_TERMS,paymentterms,ZTERM,PAY_TERMS,PaymentTerms__c,payment_term_id,paymenttermscode,pay_term,terms_of_payment,VARCHAR,50,NET 30
Kompanije,Currency,Valuta,currency,currency,Currency,currency,CURRENCY,currency,WAERS,CURRENCY,CurrencyIsoCode,currency_id,transactioncurrencyid,curr,"curr_code, ccy",VARCHAR,3,EUR
Kompanije,Bank Account ID,ID bankovnog racuna,bank_account_id,bankAccountId,BankAccountId,bank-account-id,BANK_ACCOUNT_ID,bankaccountid,BANKK,BANK_ACCT,BankAccount__c,bank_account_id,accountid,bnk_acct,"iban_id, account_pk",INT/UUID,-,BA001
Finansije,Reconciliation Account,Rekonsilijacioni konto,reconciliation_account,reconciliationAccount,ReconciliationAccount,reconciliation-account,RECONCILIATION_ACCOUNT,reconciliationaccount,AKONT,RECON_ACCT,ReconciliationAccount__c,account_id,reconciliationaccount,"recon_acct, recon_account, vendor_recon","general ledger reconciliation account, supplier reconciliation account, vendor reconciliation account",VARCHAR,20,160000
Finansije,Account Number,Broj racuna (bankovnog),account_number,accountNumber,AccountNumber,account-number,ACCOUNT_NUMBER,accountnumber,BANKN,ACCT_NO,AccountNumber,acc_number,accountnumber,"acct_no, an","bank_acc_no, account_no",VARCHAR,30,265-1234567890123-12
Finansije,IBAN,IBAN,iban,iban,Iban,iban,IBAN,iban,IBAN,IBAN,IBAN__c,sanitized_acc_number,iban,iban,intl_bank_account,VARCHAR,34,RS35265100000000123456
Finansije,BIC/SWIFT,BIC/SWIFT kod,bic,bic,Bic,bic,BIC,bic,SWIFT,SWIFT,BIC__c,bank_bic,swiftnumber,"swift, bic",swift_code,VARCHAR,11,RZBSRSBG
Finansije,Bank Name,Naziv banke,bank_name,bankName,BankName,bank-name,BANK_NAME,bankname,BANKA,BANK_NAME,BankName__c,bank_id,bankname,bnk_nm,"bank, financial_inst",VARCHAR,100,Raiffeisen banka
Finansije,Bank Code,sifra banke,bank_code,bankCode,BankCode,bank-code,BANK_CODE,bankcode,BANKL,BANK_CODE,BankCode__c,bank_code,bankcode,bnk_cd,"routing_number, blz",VARCHAR,20,265
Finansije,Branch Code,sifra filijale,branch_code,branchCode,BranchCode,branch-code,BRANCH_CODE,branchcode,BRANCH,BRANCH_CD,BranchCode__c,branch_id,branchcode,br_cd,"branch_no, sort_code",VARCHAR,20,100
Finansije,Routing Number,Routing broj,routing_number,routingNumber,RoutingNumber,routing-number,ROUTING_NUMBER,routingnumber,BANKL,ROUTING,RoutingNumber__c,routing,routingnumber,rt_no,aba_number,VARCHAR,20,21000021
Finansije,Invoice Number,Broj fakture,invoice_number,invoiceNumber,InvoiceNumber,invoice-number,INVOICE_NUMBER,invoicenumber,VBELN,INV_NO,InvoiceNumber__c,number,invoicenumber,"inv_no, invno","bill_no, invoice_no, br_fakture",VARCHAR,30,INV-2026-001234
Finansije,Invoice Date,Datum fakture,invoice_date,invoiceDate,InvoiceDate,invoice-date,INVOICE_DATE,invoicedate,FKDAT,INV_DATE,InvoiceDate__c,invoice_date,invoicedate,inv_dt,"bill_date, datum_fakture",DATE,-,2026-04-15
Finansije,Due Date,Datum dospeca,due_date,dueDate,DueDate,due-date,DUE_DATE,duedate,NETDT,DUE_DATE,DueDate,date_due,duedate,due_dt,payment_due_date,DATE,-,2026-05-15
Finansije,Issue Date,Datum izdavanja,issue_date,issueDate,IssueDate,issue-date,ISSUE_DATE,issuedate,BLDAT,ISSUE_DT,IssueDate__c,date_invoice,issuedate,iss_dt,document_date,DATE,-,2026-04-15
Finansije,Posting Date,Datum knjizenja,posting_date,postingDate,PostingDate,posting-date,POSTING_DATE,postingdate,BUDAT,POST_DATE,PostingDate__c,date_posting,postingdate,post_dt,"book_date, gl_date",DATE,-,2026-04-15
Finansije,Invoice Amount,Iznos fakture,invoice_amount,invoiceAmount,InvoiceAmount,invoice-amount,INVOICE_AMOUNT,invoiceamount,RBETR,INV_AMT,TotalAmount,amount_total,totalamount,inv_amt,"total, bill_amount",DECIMAL,"15,2",12500
Finansije,Net Amount,Neto iznos,net_amount,netAmount,NetAmount,net-amount,NET_AMOUNT,netamount,NETWR,NET_AMT,NetAmount__c,amount_untaxed,netamount,net_amt,"subtotal, before_tax",DECIMAL,"15,2",10416.67
Finansije,Gross Amount,Bruto iznos,gross_amount,grossAmount,GrossAmount,gross-amount,GROSS_AMOUNT,grossamount,BRUWR,GROSS_AMT,GrossAmount__c,amount_total,grossamount,gr_amt,"with_tax, total_inc",DECIMAL,"15,2",12500
Finansije,Tax Amount,Iznos poreza,tax_amount,taxAmount,TaxAmount,tax-amount,TAX_AMOUNT,taxamount,MWSBP,TAX_AMT,TotalTax,amount_tax,taxamount,tx_amt,"vat_amount, pdv_iznos",DECIMAL,"15,2",2083.33
Finansije,Tax Rate,Poreska stopa,tax_rate,taxRate,TaxRate,tax-rate,TAX_RATE,taxrate,MWSKZ,TAX_RATE,Rate,amount_rate,rate,tx_rate,"vat_rate, pdv_stopa",DECIMAL,"5,2",20
Finansije,Tax Code,Poreska oznaka,tax_code,taxCode,TaxCode,tax-code,TAX_CODE,taxcode,MWSKZ,TAX_CODE,TaxCode__c,tax_id,taxcode,tx_cd,vat_code,VARCHAR,10,VAT20
Finansije,Discount Amount,Iznos popusta,discount_amount,discountAmount,DiscountAmount,discount-amount,DISCOUNT_AMOUNT,discountamount,SKONTO,DISC_AMT,Discount,amount_discount,discount,"disc, dsc","rebate, reduction",DECIMAL,"15,2",100
Finansije,Discount Percent,Procenat popusta,discount_percent,discountPercent,DiscountPercent,discount-percent,DISCOUNT_PERCENT,discountpercent,SKONTPRZ,DISC_PCT,DiscountPercent__c,discount,discountpercentage,disc_pct,rebate_pct,DECIMAL,"5,2",5
Finansije,Total Amount,Ukupan iznos,total_amount,totalAmount,TotalAmount,total-amount,TOTAL_AMOUNT,totalamount,BRTWR,TOT_AMT,TotalAmount,amount_total,totalamount,total,"grand_total, sum_total",DECIMAL,"15,2",12500
Finansije,Subtotal,Subtotal,subtotal,subtotal,Subtotal,subtotal,SUBTOTAL,subtotal,ZWSUM,SUBTOTAL,Subtotal,subtotal,subtotal,sub,sum_lines,DECIMAL,"15,2",10416.67
Finansije,Currency Code,sifra valute,currency_code,currencyCode,CurrencyCode,currency-code,CURRENCY_CODE,currencycode,WAERS,CCY_CODE,CurrencyIsoCode,currency_id,transactioncurrencyid,"ccy, curr",iso_currency,VARCHAR,3,EUR
Finansije,Exchange Rate,Devizni kurs,exchange_rate,exchangeRate,ExchangeRate,exchange-rate,EXCHANGE_RATE,exchangerate,KURSF,FX_RATE,ExchangeRate,currency_rate,exchangerate,"fx, rate","fx_rate, conversion_rate",DECIMAL,"15,6",117.5
Finansije,Payment Method,Nacin placanja,payment_method,paymentMethod,PaymentMethod,payment-method,PAYMENT_METHOD,paymentmethod,ZLSCH,PAY_METHOD,PaymentMethod__c,payment_method_id,paymentmethodcode,pay_meth,pay_type,VARCHAR,30,Bank Transfer
Finansije,Payment Status,Status placanja,payment_status,paymentStatus,PaymentStatus,payment-status,PAYMENT_STATUS,paymentstatus,ZAHLST,PAY_STATUS,PaymentStatus__c,payment_state,paymentstatus,pay_st,"pmt_status, paid_flag",VARCHAR,20,Paid
Finansije,Payment Date,Datum placanja,payment_date,paymentDate,PaymentDate,payment-date,PAYMENT_DATE,paymentdate,ZALDT,PAY_DATE,PaymentDate__c,date_paid,paymentdate,pay_dt,"paid_on, pmt_date",DATE,-,2026-04-30
Finansije,Payment Reference,Poziv na broj,payment_reference,paymentReference,PaymentReference,payment-reference,PAYMENT_REFERENCE,paymentreference,XBLNR,PAY_REF,PaymentReference__c,reference,paymentreference,pay_ref,"reference_no, model_poziva",VARCHAR,50,97-12-345678
Finansije,Payment Model,Model placanja,payment_model,paymentModel,PaymentModel,payment-model,PAYMENT_MODEL,paymentmodel,ZAHLM,PAY_MODEL,PaymentModel__c,payment_model,paymentmodel,pay_mdl,model,VARCHAR,5,97
Finansije,GL Account,Konto glavne knjige,gl_account,glAccount,GlAccount,gl-account,GL_ACCOUNT,glaccount,HKONT,GL_ACCT,GLAccount__c,account_id,accountid,"gl_no, gla","ledger_account, konto",VARCHAR,20,2200000
Finansije,Cost Center,Mesto troska,cost_center,costCenter,CostCenter,cost-center,COST_CENTER,costcenter,KOSTL,COST_CTR,CostCenter__c,analytic_account,costcenter,"cc, cstctr",responsibility_center,VARCHAR,20,CC1000
Finansije,Profit Center,Profitni centar,profit_center,profitCenter,ProfitCenter,profit-center,PROFIT_CENTER,profitcenter,PRCTR,PROF_CTR,ProfitCenter__c,profit_center,profitcenter,"pc, prctr",revenue_center,VARCHAR,20,PC2000
Finansije,Budget,Budzet,budget,budget,Budget,budget,BUDGET,budget,BUDGET,BUDGET,Budget__c,budget,budget,bud,allocation,DECIMAL,"15,2",50000
Finansije,Forecast,Prognoza,forecast,forecast,Forecast,forecast,FORECAST,forecast,PROGN,FORECAST,Forecast__c,forecast,forecast,fcst,projection,DECIMAL,"15,2",45000
Finansije,Actual,Stvarno (izvrseno),actual,actual,Actual,actual,ACTUAL,actual,IST,ACTUAL,Actual__c,actual,actual,act,realized,DECIMAL,"15,2",42500
Finansije,Variance,Odstupanje,variance,variance,Variance,variance,VARIANCE,variance,ABWEI,VARIANCE,Variance__c,variance,variance,var,deviation,DECIMAL,"15,2",-2500
Finansije,Document Number,Broj dokumenta,document_number,documentNumber,DocumentNumber,document-number,DOCUMENT_NUMBER,documentnumber,BELNR,DOC_NO,DocumentNumber__c,number,documentnumber,doc_no,"ref_no, document_id",VARCHAR,30,DOC-2026-0001
Finansije,Document Type,Tip dokumenta,document_type,documentType,DocumentType,document-type,DOCUMENT_TYPE,documenttype,BLART,DOC_TYPE,Type,type,documenttypecode,doc_type,"dt, doctype",VARCHAR,10,RE
Finansije,Reference Number,Referenca,reference_number,referenceNumber,ReferenceNumber,reference-number,REFERENCE_NUMBER,referencenumber,XBLNR,REF_NO,ReferenceNumber__c,origin,referencenumber,ref_no,"external_ref, ref",VARCHAR,50,REF-12345
Finansije,Fiscal Year,Fiskalna godina,fiscal_year,fiscalYear,FiscalYear,fiscal-year,FISCAL_YEAR,fiscalyear,GJAHR,FISC_YEAR,FiscalYear,fiscalyear_id,fiscalyear,fy,"fiscal_yr, year",INT,4,2026
Finansije,Fiscal Period,Fiskalni period,fiscal_period,fiscalPeriod,FiscalPeriod,fiscal-period,FISCAL_PERIOD,fiscalperiod,MONAT,FISC_PERD,FiscalPeriod,period_id,fiscalperiod,fp,period,INT,2,4
Finansije,Debit Amount,Iznos duguje,debit_amount,debitAmount,DebitAmount,debit-amount,DEBIT_AMOUNT,debitamount,SOLLBE,DEBIT_AMT,DebitAmount__c,debit,debitamount,dr_amt,"dr, debit",DECIMAL,"15,2",1000
Finansije,Credit Amount,Iznos potrazuje,credit_amount,creditAmount,CreditAmount,credit-amount,CREDIT_AMOUNT,creditamount,HABEN,CREDIT_AMT,CreditAmount__c,credit,creditamount,cr_amt,"cr, credit",DECIMAL,"15,2",1000
Finansije,Balance,Saldo,balance,balance,Balance,balance,BALANCE,balance,SALDO,BALANCE,Balance__c,balance,balance,bal,running_balance,DECIMAL,"15,2",5000
Finansije,Opening Balance,Pocetni saldo,opening_balance,openingBalance,OpeningBalance,opening-balance,OPENING_BALANCE,openingbalance,ANFSAL,OPEN_BAL,OpeningBalance__c,opening_balance,openingbalance,opn_bal,"beg_balance, brought_forward",DECIMAL,"15,2",3000
Finansije,Closing Balance,Krajnji saldo,closing_balance,closingBalance,ClosingBalance,closing-balance,CLOSING_BALANCE,closingbalance,ENDSAL,CLOSE_BAL,ClosingBalance__c,closing_balance,closingbalance,cls_bal,"end_balance, carried_forward",DECIMAL,"15,2",5500
Finansije,Transaction ID,ID transakcije,transaction_id,transactionId,TransactionId,transaction-id,TRANSACTION_ID,transactionid,TRX_ID,TRANS_ID,TransactionId__c,transaction_id,transactionid,txn_id,"tx_id, trans_pk",INT/UUID,-,TXN1000123
Finansije,Transaction Date,Datum transakcije,transaction_date,transactionDate,TransactionDate,transaction-date,TRANSACTION_DATE,transactiondate,BUDAT,TRX_DATE,TransactionDate,date_transaction,transactiondate,txn_dt,tx_date,DATE,-,2026-04-15
Finansije,Transaction Type,Tip transakcije,transaction_type,transactionType,TransactionType,transaction-type,TRANSACTION_TYPE,transactiontype,BLART,TRX_TYPE,Type,type,transactiontype,txn_type,"tx_type, op_type",VARCHAR,20,PAYMENT
Finansije,Journal Entry ID,ID dnevnickog naloga,journal_entry_id,journalEntryId,JournalEntryId,journal-entry-id,JOURNAL_ENTRY_ID,journalentryid,BELNR,JE_ID,JournalEntry__c,move_id,journalentryid,je_id,"je, voucher_id",INT/UUID,-,JE2026001
Finansije,Voucher Number,Broj vaucera,voucher_number,voucherNumber,VoucherNumber,voucher-number,VOUCHER_NUMBER,vouchernumber,BELNR,VCHR_NO,Voucher__c,number,vouchernumber,vchr,"voucher_no, ticket_no",VARCHAR,30,VCH-2026-001
Finansije,Receipt Number,Broj potvrde/racuna,receipt_number,receiptNumber,ReceiptNumber,receipt-number,RECEIPT_NUMBER,receiptnumber,QUITT,RECEIPT_NO,Receipt__c,number,receiptnumber,rcpt_no,"rcpt, br_priznanice",VARCHAR,30,RCP-2026-001
Finansije,Quotation Number,Broj ponude,quotation_number,quotationNumber,QuotationNumber,quotation-number,QUOTATION_NUMBER,quotationnumber,VBELN_QT,QUOT_NO,QuoteNumber,number,quotenumber,"qt_no, qno","quote_no, br_ponude",VARCHAR,30,QT-2026-001
Finansije,Quote Date,Datum ponude,quote_date,quoteDate,QuoteDate,quote-date,QUOTE_DATE,quotedate,QT_DATE,QUOT_DATE,QuoteDate,date_quote,quotedate,qt_dt,quotation_date,DATE,-,2026-04-10
Finansije,Credit Note Number,Broj knjiznog odobrenja,credit_note_number,creditNoteNumber,CreditNoteNumber,credit-note-number,CREDIT_NOTE_NUMBER,creditnotenumber,GUTSCH,CREDIT_NOTE,CreditMemo__c,number_cn,creditmemonumber,cn_no,"knj_odob, credit_memo",VARCHAR,30,CN-2026-001
Finansije,Debit Note Number,Broj knjiznog zaduzenja,debit_note_number,debitNoteNumber,DebitNoteNumber,debit-note-number,DEBIT_NOTE_NUMBER,debitnotenumber,LASTSCH,DEBIT_NOTE,DebitMemo__c,number_dn,debitmemonumber,dn_no,"knj_zad, debit_memo",VARCHAR,30,DN-2026-001
Finansije,Statement Number,Broj izvoda,statement_number,statementNumber,StatementNumber,statement-number,STATEMENT_NUMBER,statementnumber,AUSZUG,STMT_NO,Statement__c,statement_id,statementnumber,stmt,br_izvoda,VARCHAR,30,ST-2026-001
Finansije,Period From,Period od,period_from,periodFrom,PeriodFrom,period-from,PERIOD_FROM,periodfrom,VON_DAT,PERD_FROM,PeriodFrom__c,date_from,periodfrom,prd_fr,start_period,DATE,-,2026-01-01
Finansije,Period To,Period do,period_to,periodTo,PeriodTo,period-to,PERIOD_TO,periodto,BIS_DAT,PERD_TO,PeriodTo__c,date_to,periodto,prd_to,end_period,DATE,-,2026-12-31
Finansije,Late Fee,Kazna za kasnjenje,late_fee,lateFee,LateFee,late-fee,LATE_FEE,latefee,MAHNG,LATE_FEE,LateFee__c,late_fee,latefee,lf,"penalty, kamata",DECIMAL,"15,2",50
Finansije,Outstanding Balance,Neplaceni saldo,outstanding_balance,outstandingBalance,OutstandingBalance,outstanding-balance,OUTSTANDING_BALANCE,outstandingbalance,OFFEN_BTR,OUTSTANDING,OutstandingBalance__c,residual,outstandingbalance,os_bal,"overdue, neplaceno",DECIMAL,"15,2",2500
Finansije,Aging Bucket,Bucket starenja,aging_bucket,agingBucket,AgingBucket,aging-bucket,AGING_BUCKET,agingbucket,MAHNST,AGING,Aging__c,aging,agingbucket,aging,dunning_level,VARCHAR,20,30-60
Finansije,Tax ID (VAT),PIB/VAT identifikacija,tax_identification,taxIdentification,TaxIdentification,tax-identification,TAX_IDENTIFICATION,taxidentification,STCEG,TAX_IDENT,TaxId__c,vat,taxidentificationnumber,"tin, pib","vat_id, fiscal_id",VARCHAR,20,RS103456789
Proizvodi/Materijali,Material Number,sifra materijala,material_number,materialNumber,MaterialNumber,material-number,MATERIAL_NUMBER,materialnumber,MATNR,ITEM_NO,MaterialNumber__c,default_code,productnumber,"mat_no, mtrl","sku, item_code, sifra_mat",VARCHAR,40,MAT-001234
Proizvodi/Materijali,Material ID,ID materijala,material_id,materialId,MaterialId,material-id,MATERIAL_ID,materialid,MATNR,MAT_ID,MaterialId__c,material_id,materialid,"mat_id, mid","material identifier, item identifier",VARCHAR,40,MAT-001234
Proizvodi/Materijali,Engineering Part Number,Inzenjerski broj dela,engineering_part_number,engineeringPartNumber,EngineeringPartNumber,engineering-part-number,ENGINEERING_PART_NUMBER,engineeringpartnumber,BISMT,ENG_PART_NO,EngineeringPartNumber__c,engineering_part_number,engineeringpartnumber,"epn, eng_pn","legacy material number, old material number, design part number",VARCHAR,40,LEG-PUMP-A100
Proizvodi/Materijali,Created Date,Datum kreiranja materijala,created_date,createdDate,CreatedDate,created-date,CREATED_DATE,createddate,ERSDA,CREATE_DT,CreatedDate__c,created_date,createddate,"crt_dt, create_dt","material created date, technical created date, creation date",DATE,-,2023-01-10
Proizvodi/Materijali,Batch Managed Flag,Indikator upravljanja serijom,batch_managed_flag,batchManagedFlag,BatchManagedFlag,batch-managed-flag,BATCH_MANAGED_FLAG,batchmanagedflag,XCHPF,BATCH_FLAG,BatchManagedFlag__c,batch_managed_flag,batchmanagedflag,"batch_flag, batch_mgmt","batch management indicator, batch required flag, batch managed",BOOLEAN,5,true
Proizvodi/Materijali,Deletion Mark,Oznaka za brisanje,deletion_mark,deletionMark,DeletionMark,deletion-mark,DELETION_MARK,deletionmark,LVORM,DELETE_FLAG,DeletionMark__c,deletion_mark,deletionmark,"del_mark, delete_flag","deletion flag, flagged for deletion, mark for deletion, loevm, vendor deletion mark",BOOLEAN,5,false
Proizvodi/Materijali,Product ID,ID proizvoda,product_id,productId,ProductId,product-id,PRODUCT_ID,productid,PROD_ID,PROD_ID,ProductId,product_id,productid,"prod_id, pid","item_id, article_id",INT/UUID,-,P001
Proizvodi/Materijali,SKU,SKU,sku,sku,Sku,sku,SKU,sku,MATNR_SKU,SKU,StockKeepingUnit,default_code,productcode,sku,"stock_keeping_unit, item_code",VARCHAR,40,SKU-A123
Proizvodi/Materijali,Product Name,Naziv proizvoda,product_name,productName,ProductName,product-name,PRODUCT_NAME,productname,MAKTX,PROD_NAME,Name,name,productname,prod_nm,"item_name, article_name",VARCHAR,255,Laptop Dell XPS 13
Proizvodi/Materijali,Material Description,Opis materijala,material_description,materialDescription,MaterialDescription,material-description,MATERIAL_DESCRIPTION,materialdescription,MAKTG,MAT_DESC,Description,description,description,desc,"description, opis",TEXT,-,Laptop racunar 13 inca
Proizvodi/Materijali,Short Description,Kratak opis,short_description,shortDescription,ShortDescription,short-description,SHORT_DESCRIPTION,shortdescription,KZTXT,SHORT_DESC,ShortDescription__c,description_short,description_short,sh_desc,"brief, summary",VARCHAR,255,Laptop XPS 13
Proizvodi/Materijali,Long Description,Dugacak opis,long_description,longDescription,LongDescription,long-description,LONG_DESCRIPTION,longdescription,LANTX,LONG_DESC,LongDescription__c,description_sale,description_long,lng_desc,full_description,TEXT,-,Detaljan opis...
Proizvodi/Materijali,Barcode,Bar kod,barcode,barcode,Barcode,barcode,BARCODE,barcode,EAN11,BARCODE,Barcode__c,barcode,barcode,"bc, bcd","upc, gtin",VARCHAR,30,5.90123E+12
Proizvodi/Materijali,EAN,EAN kod,ean,ean,Ean,ean,EAN,ean,EAN11,EAN,EAN__c,ean13,ean,ean,"ean_code, ean13",VARCHAR,13,5.90123E+12
Proizvodi/Materijali,UPC,UPC kod,upc,upc,Upc,upc,UPC,upc,UPC,UPC,UPC__c,upc,upc,upc,"upc_code, upc12",VARCHAR,12,12345678905
Proizvodi/Materijali,GTIN,GTIN,gtin,gtin,Gtin,gtin,GTIN,gtin,GTIN,GTIN,GTIN__c,gtin,gtin,gtin,global_trade_item,VARCHAR,14,12345678905
Proizvodi/Materijali,Material Group,Grupa materijala,material_group,materialGroup,MaterialGroup,material-group,MATERIAL_GROUP,materialgroup,MATKL,MAT_GRP,MaterialGroup__c,category_id,productcategoryid,mat_grp,"product_group, kategorija",VARCHAR,20,GRP-100
Proizvodi/Materijali,Product Category,Kategorija proizvoda,category,category,Category,category,CATEGORY,category,MATKL,PROD_CAT,Family,categ_id,category,cat,"prod_cat, classification",VARCHAR,100,Electronics
Proizvodi/Materijali,Subcategory,Potkategorija,subcategory,subcategory,Subcategory,subcategory,SUBCATEGORY,subcategory,SUBKL,SUB_CAT,SubCategory__c,sub_categ_id,subcategory,subcat,subkat,VARCHAR,100,Laptops
Proizvodi/Materijali,Material Type,Tip materijala,material_type,materialType,MaterialType,material-type,MATERIAL_TYPE,materialtype,MTART,MAT_TYPE,Type,type,producttype,mat_type,"item_type, art_type",VARCHAR,20,FERT
Proizvodi/Materijali,Brand,Brend,brand,brand,Brand,brand,BRAND,brand,MARKE,BRAND,Brand__c,brand_id,brand,brnd,"make, manufacturer",VARCHAR,100,Dell
Proizvodi/Materijali,Manufacturer,Proizvodjac,manufacturer,manufacturer,Manufacturer,manufacturer,MANUFACTURER,manufacturer,HERST,MFG,Manufacturer__c,manufacturer_id,manufacturer,mfr,"maker, producer",VARCHAR,150,Dell Inc.
Proizvodi/Materijali,Manufacturer Part Number,sifra dela proizvodjaca,mpn,mpn,Mpn,mpn,MPN,mpn,HERSTID,MFG_PART,MPN__c,manufacturer_pname,mpn,mpn,"mfr_part_no, mfg_no",VARCHAR,40,XPS-13-9310
Proizvodi/Materijali,Model Number,Broj modela,model_number,modelNumber,ModelNumber,model-number,MODEL_NUMBER,modelnumber,TYPMODEL,MODEL,Model__c,model,modelno,model_no,model_id,VARCHAR,40,XPS13
Proizvodi/Materijali,Unit of Measure,Jedinica mere,unit_of_measure,unitOfMeasure,UnitOfMeasure,unit-of-measure,UNIT_OF_MEASURE,unitofmeasure,MEINS,UOM,UoM__c,uom_id,unitofmeasure,uom,"jm, measure_unit",VARCHAR,10,PCS
Proizvodi/Materijali,Base Unit,Osnovna jedinica,base_unit,baseUnit,BaseUnit,base-unit,BASE_UNIT,baseunit,MEINS,BASE_UOM,BaseUnit__c,uom_id,baseunitofmeasure,base_uom,primary_unit,VARCHAR,10,PCS
Proizvodi/Materijali,Sales Unit,Prodajna jedinica,sales_unit,salesUnit,SalesUnit,sales-unit,SALES_UNIT,salesunit,VRKME,SALES_UOM,SalesUnit__c,uom_id,sales_uom,sales_uom,sale_unit,VARCHAR,10,PCS
Proizvodi/Materijali,Purchase Unit,Nabavna jedinica,purchase_unit,purchaseUnit,PurchaseUnit,purchase-unit,PURCHASE_UNIT,purchaseunit,BSTME,PUR_UOM,PurchaseUnit__c,uom_po_id,purchase_uom,pur_uom,po_unit,VARCHAR,10,PCS
Proizvodi/Materijali,Weight,Tezina,weight,weight,Weight,weight,WEIGHT,weight,BRGEW,WEIGHT,Weight__c,weight,weight,wt,mass,DECIMAL,"10,3",1.25
Proizvodi/Materijali,Net Weight,Neto tezina,net_weight,netWeight,NetWeight,net-weight,NET_WEIGHT,netweight,NTGEW,NET_WT,NetWeight__c,weight_net,netweight,net_wt,net_mass,DECIMAL,"10,3",1.25
Proizvodi/Materijali,Gross Weight,Bruto tezina,gross_weight,grossWeight,GrossWeight,gross-weight,GROSS_WEIGHT,grossweight,BRGEW,GROSS_WT,GrossWeight__c,weight_gross,grossweight,gr_wt,gross_mass,DECIMAL,"10,3",1.5
Proizvodi/Materijali,Weight Unit,Jedinica tezine,weight_unit,weightUnit,WeightUnit,weight-unit,WEIGHT_UNIT,weightunit,GEWEI,WT_UOM,WeightUnit__c,weight_uom_id,weightunit,wt_uom,mass_unit,VARCHAR,5,KG
Proizvodi/Materijali,Volume,Zapremina,volume,volume,Volume,volume,VOLUME,volume,VOLUM,VOLUME,Volume__c,volume,volume,vol,capacity,DECIMAL,"10,3",0.005
Proizvodi/Materijali,Volume Unit,Jedinica zapremine,volume_unit,volumeUnit,VolumeUnit,volume-unit,VOLUME_UNIT,volumeunit,VOLEH,VOL_UOM,VolumeUnit__c,volume_uom_id,volumeunit,vol_uom,vol_unit,VARCHAR,5,M3
Proizvodi/Materijali,Length,Duzina,length,length,Length,length,LENGTH,length,LAENG,LENGTH,Length__c,length,length,len,dim_length,DECIMAL,"10,3",30
Proizvodi/Materijali,Width,sirina,width,width,Width,width,WIDTH,width,BREIT,WIDTH,Width__c,width,width,wd,dim_width,DECIMAL,"10,3",20
Proizvodi/Materijali,Height,Visina,height,height,Height,height,HEIGHT,height,HOEHE,HEIGHT,Height__c,height,height,ht,dim_height,DECIMAL,"10,3",2
Proizvodi/Materijali,Dimensions,Dimenzije,dimensions,dimensions,Dimensions,dimensions,DIMENSIONS,dimensions,ABMES,DIMS,Dimensions__c,dimensions,dimensions,dim,size,VARCHAR,50,30x20x2 cm
Proizvodi/Materijali,Color,Boja,color,color,Color,color,COLOR,color,FARBE,COLOR,Color__c,color,color,clr,colour,VARCHAR,30,Silver
Proizvodi/Materijali,Size,Velicina,size,size,Size,size,SIZE,size,GROES,SIZE,Size__c,size,size,sz,dimension,VARCHAR,20,M
Proizvodi/Materijali,Material,Materijal (od cega),material,material,Material,material,MATERIAL,material,WERKS,MATERIAL,Material__c,material,material,matrl,"composition, made_of",VARCHAR,100,Aluminum
Proizvodi/Materijali,Cost Price,Nabavna cena,cost_price,costPrice,CostPrice,cost-price,COST_PRICE,costprice,EKKO_PR,COST,CostPrice__c,standard_price,standardcost,"cst_pr, cp","purchase_cost, std_cost",DECIMAL,"15,2",850
Proizvodi/Materijali,Sales Price,Prodajna cena,sales_price,salesPrice,SalesPrice,sales-price,SALES_PRICE,salesprice,VKKO_PR,SALES_PR,UnitPrice,list_price,currentcost,"sls_pr, sp","retail_price, list_price",DECIMAL,"15,2",1200
Proizvodi/Materijali,List Price,Cena iz cenovnika,list_price,listPrice,ListPrice,list-price,LIST_PRICE,listprice,VKP00,LIST_PR,ListPrice,list_price,listprice,lp,"msrp, retail_price",DECIMAL,"15,2",1300
Proizvodi/Materijali,Standard Price,Standardna cena,standard_price,standardPrice,StandardPrice,standard-price,STANDARD_PRICE,standardprice,STPRS,STD_PRICE,StandardPrice__c,standard_price,standardprice,std_pr,std_cost,DECIMAL,"15,2",1000
Proizvodi/Materijali,Moving Average Price,Prosecna cena (MAP),moving_avg_price,movingAvgPrice,MovingAvgPrice,moving-avg-price,MOVING_AVG_PRICE,movingavgprice,VERPR,MAP_PRICE,MovAvg__c,average_price,averagecost,map,"avg_price, weighted_avg",DECIMAL,"15,2",975.5
Proizvodi/Materijali,Currency (Price),Valuta cene,price_currency,priceCurrency,PriceCurrency,price-currency,PRICE_CURRENCY,pricecurrency,WAERS,PRICE_CURR,CurrencyIsoCode,currency_id,transactioncurrencyid,prc_ccy,price_ccy,VARCHAR,3,EUR
Proizvodi/Materijali,Tax Class,Poreska klasa,tax_class,taxClass,TaxClass,tax-class,TAX_CLASS,taxclass,TAXM1,TAX_CLASS,TaxClass__c,tax_id,taxclass,tx_cls,vat_class,VARCHAR,10,VAT20
